"jogador";"camp";"semelhantes";"camp ";"nivel_de_similaridade"
"kalangoshow";"GWL 2025 S1";"tectoy22";"GWL 2025 S1";56,0935561080673
"haksccp";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";56,3465643420663
"loudcauan";"GWL 2025 S1";"crvgmts007";"GWL 2025 S1";56,396512801033
"loudcauan";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";56,5781757756473
"incoxguto7";"GWL 2025 S1";"loudcauan";"GWL 2025 S1";56,7998532647702
"almghostbb";"GWL 2025 S1";"xldmitinx";"GWL 2025 S1";56,8264635758549
"cptyann7awp";"GWL 2025 S1";"civillifer";"GWL 2025 S1";56,8734233945941
"afwliu";"GWL 2025 S1";"w7mlupo";"GWL 2025 S1";57,0201950412791
"loudcauan";"GWL 2025 S1";"sccpnandox";"GWL 2025 S1";57,1236513151904
"almghostbb";"GWL 2025 S1";"a7ojo7";"GWL 2025 S1";57,1447650409845
"kalangoshow";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";57,1623342164382
"tsxtrap7";"GWL 2025 S1";"painguszx";"GWL 2025 S1";57,1916802659263
"afwliu";"GWL 2025 S1";"tronalves7";"GWL 2025 S1";57,260127445974
"painguszx";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";57,5361433477109
"afwliu";"GWL 2025 S1";"antingelo7";"GWL 2025 S1";57,5585940184283
"xldmitinx";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";57,77011534369
"incoxguto7";"GWL 2025 S1";"painguszx";"GWL 2025 S1";57,802316689614
"cptyann7awp";"GWL 2025 S1";"a7deusvida";"GWL 2025 S1";57,8574468715228
"bvbfnx04";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";58,2320654132568
"haksccp";"GWL 2025 S1";"infyato7";"GWL 2025 S1";58,274920824007
"painguszx";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";58,3092367753199
"kalangoshow";"GWL 2025 S1";"sccppo7";"GWL 2025 S1";58,4820418189106
"tronsam7";"GWL 2025 S1";"a7deusvida";"GWL 2025 S1";58,6896834462966
"haksccp";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";58,7009723677967
"bvbblack";"GWL 2025 S1";"incostrike";"GWL 2025 S1";58,7572056968098
"bvbblack";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";58,81115839524
"antingelo7";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";59,1505373831254
"sccppo7";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";59,3553667415137
"incobielgod";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";59,3772844604482
"kaua7xp";"GWL 2025 S1";"hugo7show";"GWL 2025 S1";59,4206592145282
"a7ojo7";"GWL 2025 S1";"loudlot21";"GWL 2025 S1";59,6198882548561
"bvbfnx04";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";59,6411962812878
"losnando9";"GWL 2025 S1";"sccppo7";"GWL 2025 S1";59,6631560876671
"bvbgbzinn";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";59,6985089848505
"bvbgbzinn";"GWL 2025 S1";"civillifer";"GWL 2025 S1";59,8103977330377
"painguszx";"GWL 2025 S1";"sccpnandox";"GWL 2025 S1";59,8213310340518
"xldjapa7";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";59,9070831641005
"sccppo7";"GWL 2025 S1";"zetsu9inco";"GWL 2025 S1";59,9356968266002
"logeneral";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";59,9765181653884
"bvbfnx04";"GWL 2025 S1";"incostrike";"GWL 2025 S1";60,1148318499882
"tronsam7";"GWL 2025 S1";"antisant";"GWL 2025 S1";60,1188733780718
"antingelo7";"GWL 2025 S1";"sccpnandox";"GWL 2025 S1";60,1241575715844
"xldmitinx";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";60,1457108094555
"civilnando7";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";60,2642841181684
"logeneral";"GWL 2025 S1";"antisant";"GWL 2025 S1";60,2870863714196
"incobielgod";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";60,3692333478444
"gpsjoker7";"GWL 2025 S1";"civillifer";"GWL 2025 S1";60,4523882703544
"a7ojo7";"GWL 2025 S1";"almghostbb";"GWL 2025 S1";60,4708567065276
"socadju";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";60,9763531247997
"antingelo7";"GWL 2025 S1";"infgoabe7";"GWL 2025 S1";61,0810559588439
"kaua7xp";"GWL 2025 S1";"infousado44";"GWL 2025 S1";61,1984202130504
"painpeter";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";61,2136568084002
"civilnando7";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";61,3167038539359
"a7deusvida";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";61,3372939992185
"civilnando7";"GWL 2025 S1";"teczeenix7";"GWL 2025 S1";61,5043020647251
"losnando9";"GWL 2025 S1";"xldlucasawp";"GWL 2025 S1";61,5475730313443
"a7deusvida";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";61,6109246910281
"logeneral";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";61,6675112515121
"incobielgod";"GWL 2025 S1";"incostrike";"GWL 2025 S1";61,8779352265056
"kaua7xp";"GWL 2025 S1";"w7m31utat";"GWL 2025 S1";61,8922790763661
"socadju";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";61,9224336333641
"sccpmala";"GWL 2025 S1";"tsnickz7";"GWL 2025 S1";62,0356743346427
"zetsu9inco";"GWL 2025 S1";"e1picpay";"GWL 2025 S1";62,2205083753663
"e1picpay";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";62,377294402225
"gpsjoker7";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";62,4010987328961
"losnando9";"GWL 2025 S1";"e1picpay";"GWL 2025 S1";62,5250835736723
"cptlyon";"GWL 2025 S1";"itjluffy245";"GWL 2025 S1";62,5363563649962
"infgoabe7";"GWL 2025 S1";"antisant";"GWL 2025 S1";62,5574026239521
"cptlyon";"GWL 2025 S1";"infyato7";"GWL 2025 S1";62,6094794454711
"civilthree6";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";62,6354562473228
"zetsu9inco";"GWL 2025 S1";"sccppo7";"GWL 2025 S1";62,770918176052
"a7ojo7";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";62,8037752830514
"mt7fx";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";62,8058923920356
"bvbgbzinn";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";62,8178398845367
"tectoy22";"GWL 2025 S1";"crvgkauelok";"GWL 2025 S1";62,9614945284183
"painpeter";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";63,0587928874555
"sccppo7";"GWL 2025 S1";"e1picpay";"GWL 2025 S1";63,1986271691361
"e1picpay";"GWL 2025 S1";"sccppo7";"GWL 2025 S1";63,2675065125573
"socadju";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";63,2840009476193
"incostrike";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";63,2877820273207
"gpsjoker7";"GWL 2025 S1";"crvgkauelok";"GWL 2025 S1";63,3386144453912
"antigbtrem";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";63,4214407524783
"civilthree6";"GWL 2025 S1";"w7m31utat";"GWL 2025 S1";63,5122557503994
"antigbtrem";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";63,6454094994879
"crvgmts007";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";63,9648948447288
"sccpmala";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";64,0055680066121
"infgoabe7";"GWL 2025 S1";"tronalves7";"GWL 2025 S1";64,1148653593499
"sccpmala";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";64,2183255955942
"tsnickz7";"GWL 2025 S1";"flguifox7";"GWL 2025 S1";64,2698998521237
"e1picpay";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";64,3199544328228
"tectoy22";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";64,6875540167507
"incostrike";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";64,7219233067422
"mt7fx";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";64,8350125116613
"crvgmts007";"GWL 2025 S1";"w7mstark41";"GWL 2025 S1";64,9785073244641
"crvgmts007";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";65,0219742031429
"painpeter";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";65,2128707722503
"incostrike";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";65,325297994543
"incoxguto7";"GWL 2025 S1";"sccpnandox";"GWL 2025 S1";65,3282184631782
"a7deusvida";"GWL 2025 S1";"civillifer";"GWL 2025 S1";65,6338672193484
"zetsu9inco";"GWL 2025 S1";"mt7fx";"GWL 2025 S1";65,7263542164953
"nodaspeed";"GWL 2025 S1";"louddraxx7";"GWL 2025 S1";65,8003429476457
"xldlucasawp";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";66,1736193047461
"infgoabe7";"GWL 2025 S1";"w7mstark41";"GWL 2025 S1";66,3332757802313
"mt7fx";"GWL 2025 S1";"zetsu9inco";"GWL 2025 S1";66,3833007839248
"tsnickz7";"GWL 2025 S1";"louddraxx7";"GWL 2025 S1";66,4432717700515
"tronsam7";"GWL 2025 S1";"tronalves7";"GWL 2025 S1";66,5397523461974
"civilthree6";"GWL 2025 S1";"afr7xy";"GWL 2025 S1";66,685089211258
"antigbtrem";"GWL 2025 S1";"civillifer";"GWL 2025 S1";67,2567737236261
"tronalves7";"GWL 2025 S1";"itjluffy245";"GWL 2025 S1";67,3559295524634
"menopecinha";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";67,942339353313
"cptlyon";"GWL 2025 S1";"teclobatoyy";"GWL 2025 S1";67,9844019070275
"e1iguinmvp";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";68,0376463565632
"aflins7";"GWL 2025 S1";"xldlucasawp";"GWL 2025 S1";68,0562038202064
"itjtheus7";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";68,0755395644127
"xldlucasawp";"GWL 2025 S1";"aflins7";"GWL 2025 S1";68,1737177453064
"crvgkauelok";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";68,1877315635217
"nodaspeed";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";68,3374522713035
"crvgkauelok";"GWL 2025 S1";"civillifer";"GWL 2025 S1";68,4253294601065
"nodaspeed";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";68,5650849225689
"menopecinha";"GWL 2025 S1";"crvgkauelok";"GWL 2025 S1";68,6680650005069
"louddraxx7";"GWL 2025 S1";"infousado44";"GWL 2025 S1";68,7202402590269
"e1iguinmvp";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";68,7641920350604
"tsnickz7";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";68,8035222555711
"tronalves7";"GWL 2025 S1";"infousado44";"GWL 2025 S1";68,8283406871725
"sccpnandox";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";68,9495503643844
"cptrennan7";"GWL 2025 S1";"teclobatoyy";"GWL 2025 S1";69,0942447033204
"tsxguaxa7";"GWL 2025 S1";"aflins7";"GWL 2025 S1";69,105727505981
"e1iguinmvp";"GWL 2025 S1";"w7mstark41";"GWL 2025 S1";69,2304655374296
"saveblack02";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";69,4311611387045
"infdorito99";"GWL 2025 S1";"menopecinha";"GWL 2025 S1";69,4568854573426
"w7mnikeboy";"GWL 2025 S1";"crvgkauelok";"GWL 2025 S1";69,5986736038567
"cptrennan7";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";69,6379407235557
"tronalves7";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";69,7577373399507
"w7mnikeboy";"GWL 2025 S1";"civillifer";"GWL 2025 S1";69,8247153860764
"tsxguaxa7";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";69,8720932129623
"infdorito99";"GWL 2025 S1";"civillifer";"GWL 2025 S1";69,932644752528
"louddraxx7";"GWL 2025 S1";"w7mstark41";"GWL 2025 S1";69,9342185024851
"aflins7";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";70,1502811005166
"tecmarvzx44";"GWL 2025 S1";"teclobatoyy";"GWL 2025 S1";70,1764290017312
"tectoy22";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";70,1982870344039
"teczeenix7";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";70,2067521596095
"teczeenix7";"GWL 2025 S1";"louddraxx7";"GWL 2025 S1";70,3481812534295
"tecmarvzx44";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";70,4185510711623
"saveblack02";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";70,5981459181557
"menopecinha";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";70,6096968891134
"sccpnandox";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";70,9408700897796
"teclobatoyy";"GWL 2025 S1";"w7mstark41";"GWL 2025 S1";71,0575705184191
"w7mstark41";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";71,1012551466578
"w7mstark41";"GWL 2025 S1";"infousado44";"GWL 2025 S1";71,1096399154232
"magnatax2";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";71,1363697466213
"itjluffy245";"GWL 2025 S1";"infousado44";"GWL 2025 S1";71,2131332006169
"fxgiuhbau";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";71,3577262704928
"tecmarvzx44";"GWL 2025 S1";"infousado44";"GWL 2025 S1";71,4134781931492
"w7mstark41";"GWL 2025 S1";"itjluffy245";"GWL 2025 S1";71,4212206305185
"infyato7";"GWL 2025 S1";"cptrennan7";"GWL 2025 S1";71,4524807368047
"e1vitin9";"GWL 2025 S1";"nodaspeed";"GWL 2025 S1";71,4803730286301
"magnatax2";"GWL 2025 S1";"sccpnandox";"GWL 2025 S1";71,5287787924224
"magnatax2";"GWL 2025 S1";"flguifox7";"GWL 2025 S1";71,655963625614
"itjluffy245";"GWL 2025 S1";"w7mstark41";"GWL 2025 S1";71,8407800447558
"w7mshowmen";"GWL 2025 S1";"xldjuca10xl";"GWL 2025 S1";71,9223478739244
"a7iluminado";"GWL 2025 S1";"w7mstark41";"GWL 2025 S1";71,929235415033
"fxgiuhbau";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";72,0517540305221
"teclobatoyy";"GWL 2025 S1";"a7takemasa";"GWL 2025 S1";72,092700932193
"infdorito99";"GWL 2025 S1";"tsxguaxa7";"GWL 2025 S1";72,1956406633822
"saveblack02";"GWL 2025 S1";"afr7xy";"GWL 2025 S1";72,2354548840473
"flguifox7";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";72,2934578125036
"teclobatoyy";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";72,3091655016212
"xldjuca10xl";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";72,3121228809288
"w7mnikeboy";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";72,3923894144707
"e1vitin9";"GWL 2025 S1";"flguifox7";"GWL 2025 S1";72,411632688843
"tsxguaxa7";"GWL 2025 S1";"infdorito99";"GWL 2025 S1";72,5048957561354
"antisant";"GWL 2025 S1";"a7takemasa";"GWL 2025 S1";72,5067515897573
"itjtheus7";"GWL 2025 S1";"tectoy22";"GWL 2025 S1";72,5178618460722
"itjluffy245";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";72,5400169285832
"civillifer";"GWL 2025 S1";"aflins7";"GWL 2025 S1";72,5900285354516
"w7mshowmen";"GWL 2025 S1";"loudlot21";"GWL 2025 S1";72,6382297088011
"aflins7";"GWL 2025 S1";"civillifer";"GWL 2025 S1";72,7762415291561
"w7mshowmen";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";72,7774528997223
"flguifox7";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";72,9768407171686
"fxgiuhbau";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";73,0911733045016
"sccpnandox";"GWL 2025 S1";"magnatax2";"GWL 2025 S1";73,1087505070617
"loudlot21";"GWL 2025 S1";"infousado44";"GWL 2025 S1";73,1163639449082
"hugo7show";"GWL 2025 S1";"loudlot21";"GWL 2025 S1";73,3686366091488
"a7takemasa";"GWL 2025 S1";"infousado44";"GWL 2025 S1";73,7018072822162
"a7takemasa";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";73,8618958387352
"cptrennan7";"GWL 2025 S1";"infyato7";"GWL 2025 S1";73,8903663380352
"crvgkauelok";"GWL 2025 S1";"infousado44";"GWL 2025 S1";74,0142017499428
"hugo7show";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";74,0436527622795
"antisant";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";74,1272423940393
"a7takemasa";"GWL 2025 S1";"afr7xy";"GWL 2025 S1";74,1434189798601
"afr7xy";"GWL 2025 S1";"w7m31utat";"GWL 2025 S1";74,4439764363796
"flguifox7";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";74,4626790192416
"xldjuca10xl";"GWL 2025 S1";"loudlot21";"GWL 2025 S1";74,622011821106
"a7iluminado";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";74,6663566412395
"louddraxx7";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";74,6862761043593
"afr7xy";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";74,709041541294
"infyato7";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";74,9355445256003
"w7m31utat";"GWL 2025 S1";"infousado44";"GWL 2025 S1";75,1781868432066
"w7m31utat";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";75,24681840364
"civillifer";"GWL 2025 S1";"xldlucasawp";"GWL 2025 S1";75,4298802165661
"infyato7";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";75,5115895676364
"xldjuca10xl";"GWL 2025 S1";"a7iluminado";"GWL 2025 S1";75,6219376775383
"afr7xy";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";75,64618787867
"xldlucasawp";"GWL 2025 S1";"civillifer";"GWL 2025 S1";75,6865741245384
"a7iluminado";"GWL 2025 S1";"xldjuca10xl";"GWL 2025 S1";75,8850128834457
"loudlot21";"GWL 2025 S1";"xldjuca10xl";"GWL 2025 S1";75,9786085551
"loudlot21";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";76,0270286689997
"infousado44";"GWL 2025 S1";"w7m31utat";"GWL 2025 S1";76,0938966200841
"antisant";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";76,4550865007896
"mgsredxzzz";"GWL 2025 S1";"louddraxx7";"GWL 2025 S1";76,6256321947857
"mgsredxzzz";"GWL 2025 S1";"teczeenix7";"GWL 2025 S1";76,8614020749258
"tsxxxxy";"GWL 2025 S1";"loudlot21";"GWL 2025 S1";77,0620048661122
"teczeenix7";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";77,1536043480629
"e1vitin9";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";77,1554264666629
"infousado44";"GWL 2025 S1";"hugo7show";"GWL 2025 S1";77,2063638224996
"hugo7show";"GWL 2025 S1";"infousado44";"GWL 2025 S1";77,3685195549952
"mgsredxzzz";"GWL 2025 S1";"infousado44";"GWL 2025 S1";77,5902029880538
"itjtheus7";"GWL 2025 S1";"civillifer";"GWL 2025 S1";77,9822814263328
"w7m31utat";"GWL 2025 S1";"tsxxxxy";"GWL 2025 S1";78,7749255675843
"tsxxxxy";"GWL 2025 S1";"e1vitin9";"GWL 2025 S1";79,0703390386127
"infousado44";"GWL 2025 S1";"mgsredxzzz";"GWL 2025 S1";79,2524675748384
"tsxxxxy";"GWL 2025 S1";"w7m31utat";"GWL 2025 S1";79,3350679884165
"civillifer";"GWL 2025 S1";"itjtheus7";"GWL 2025 S1";79,7865482232165
