"jogador";"camp";"semelhantes";"camp ";"nivel_de_similaridade"
"saveyann7wp";"GWL QUALIFIER";"mazedelta";"GWL QUALIFIER";46,8788151396818
"vloreaseca";"GWL QUALIFIER";"xldericking";"GWL QUALIFIER";46,9473600943911
"painmotovea";"GWL 2025 S1";"ckccachorin";"GWL QUALIFIER";47,0214357580852
"b8edux89";"GWL QUALIFIER";"almitzking1";"GWL QUALIFIER";47,2289274088392
"fxb0ps7";"GWL 2025 S1";"savemaster7";"GWL QUALIFIER";47,393196363776
"w7mlupo";"GWL 2025 S1";"xldjapa7";"GWL QUALIFIER";47,6581232376533
"w7mlupo";"GWL 2025 S1";"rock7ggb8";"GWL QUALIFIER";47,831843946177
"w7mlupo";"GWL 2025 S1";"koddell";"GWL QUALIFIER";48,2684624511245
"vloreaseca";"GWL QUALIFIER";"mazedelta";"GWL QUALIFIER";48,2734307047343
"gpsyeshua";"GWL QUALIFIER";"savekohizz";"GWL QUALIFIER";48,4623549894364
"gpsyeshua";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";48,5194618121406
"vloreaseca";"GWL QUALIFIER";"antisant";"GWL QUALIFIER";48,5787147773862
"gpsyeshua";"GWL QUALIFIER";"mksete10";"GWL QUALIFIER";48,6559824038497
"loudcauan";"GWL 2025 S1";"xldmikasa7";"GWL QUALIFIER";48,8236015503297
"flabandv4";"GWL 2025 S1";"ckcdn7w";"GWL QUALIFIER";48,8497063027066
"loudcauan";"GWL 2025 S1";"dr3luanzz";"GWL QUALIFIER";48,8575662872214
"xldmitinx";"GWL 2025 S1";"savekohizz";"GWL QUALIFIER";48,8852602909533
"tigro";"GWL QUALIFIER";"rvsub";"GWL QUALIFIER";48,9421552341995
"tsxtrap7";"GWL 2025 S1";"bvbalves7";"GWL QUALIFIER";48,9448085675114
"haksccp";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";49,0181745211442
"xldmitinx";"GWL 2025 S1";"ravesam7mvp";"GWL QUALIFIER";49,0698498281703
"cptyann7awp";"GWL 2025 S1";"gpsyeshua";"GWL QUALIFIER";49,4345223237452
"cptyann7awp";"GWL 2025 S1";"gnadx7rlq";"GWL QUALIFIER";49,4481157946183
"dr3dressa7";"GWL QUALIFIER";"xldguifox7";"GWL QUALIFIER";49,6094264056113
"almghostbb";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";49,6151696385559
"almcarlin";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";49,6315419534921
"antitrevor9";"GWL QUALIFIER";"afr7xy";"GWL QUALIFIER";49,8270156865759
"fxb0ps7";"GWL 2025 S1";"mazedelta";"GWL QUALIFIER";49,927934951587
"flabandv4";"GWL 2025 S1";"gpsbrisa7";"GWL QUALIFIER";49,9739262305539
"loudcauan";"GWL 2025 S1";"koddell";"GWL QUALIFIER";50,001676406685
"rvmth7";"GWL QUALIFIER";"almisacksr";"GWL QUALIFIER";50,007399046182
"kalangoshow";"GWL 2025 S1";"gpsmgx88";"GWL QUALIFIER";50,1110456186061
"flabandv4";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";50,1258167911885
"almghostbb";"GWL 2025 S1";"furtheus";"GWL QUALIFIER";50,2170224454258
"haksccp";"GWL 2025 S1";"mazese7en";"GWL QUALIFIER";50,2267462754576
"dr3dressa7";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";50,2453908093925
"cptyann7awp";"GWL 2025 S1";"rstpedrin7";"GWL QUALIFIER";50,2992080669026
"savelyon";"GWL QUALIFIER";"antibad9";"GWL QUALIFIER";50,3577961157154
"savelyon";"GWL QUALIFIER";"ckcdakemsp";"GWL QUALIFIER";50,3605095998503
"xlds1mple";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";50,4583679761936
"kalangoshow";"GWL 2025 S1";"koddell";"GWL QUALIFIER";50,7038296202263
"xlds1mple";"GWL 2025 S1";"tdcapito7";"GWL QUALIFIER";50,7201489280831
"socadju";"GWL 2025 S1";"gnadx7rlq";"GWL QUALIFIER";50,9152463804369
"bvbblack";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";50,9762623207492
"socadju";"GWL 2025 S1";"tjncardoso";"GWL QUALIFIER";51,0368772402475
"savelyon";"GWL QUALIFIER";"mazestand";"GWL QUALIFIER";51,155317379299
"bvbblack";"GWL 2025 S1";"ckcdn7w";"GWL QUALIFIER";51,2071314927622
"tigro";"GWL QUALIFIER";"ckcdn7w";"GWL QUALIFIER";51,2517742423343
"incobielgod";"GWL 2025 S1";"rstfrank";"GWL QUALIFIER";51,2598023665138
"xldguifox7";"GWL QUALIFIER";"rvsub";"GWL QUALIFIER";51,4087570989478
"sccppo7";"GWL 2025 S1";"gpsmgx88";"GWL QUALIFIER";51,5639485435962
"afwliu";"GWL QUALIFIER";"muniz2210";"GWL QUALIFIER";51,6250952929382
"bvbblack";"GWL 2025 S1";"ckcdakemsp";"GWL QUALIFIER";51,6754440004278
"ckccachorin";"GWL QUALIFIER";"tjnwadking";"GWL QUALIFIER";51,6884986384058
"xldmitinx";"GWL 2025 S1";"mazese7en";"GWL QUALIFIER";52,2797100243329
"furtheus";"GWL QUALIFIER";"mazese7en";"GWL QUALIFIER";52,3248907968233
"painguszx";"GWL 2025 S1";"savemaster7";"GWL QUALIFIER";52,3688993994818
"incoxguto7";"GWL 2025 S1";"ckcdn7w";"GWL QUALIFIER";52,3878030593376
"almghostbb";"GWL 2025 S1";"ravesam7mvp";"GWL QUALIFIER";52,4028668400251
"almcarlin";"GWL 2025 S1";"gpsmgx88";"GWL QUALIFIER";52,4456144593593
"rvmth7";"GWL QUALIFIER";"koddell";"GWL QUALIFIER";52,4716954070285
"incoxguto7";"GWL 2025 S1";"gpsbrisa7";"GWL QUALIFIER";52,4870793385572
"gnaslowzvx";"GWL QUALIFIER";"saintyeezy";"GWL QUALIFIER";52,5873188914253
"socadju";"GWL 2025 S1";"dr3luanzz";"GWL QUALIFIER";52,5900551984598
"ravesam7mvp";"GWL QUALIFIER";"xldmikasa7";"GWL QUALIFIER";52,7351512961326
"xldguifox7";"GWL QUALIFIER";"savelyon";"GWL QUALIFIER";52,7984770062586
"gpsjoker7";"GWL 2025 S1";"ravewpalan";"GWL QUALIFIER";52,8839267227005
"muniz2210";"GWL QUALIFIER";"mazestand";"GWL QUALIFIER";52,9085220333338
"xlds1mple";"GWL 2025 S1";"bvbalves7";"GWL QUALIFIER";52,9703924202672
"gnajmking";"GWL QUALIFIER";"bvbnielx7";"GWL QUALIFIER";53,0327699526164
"crvgsphora";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";53,068893089101
"bvbgbzinn";"GWL 2025 S1";"ravewpalan";"GWL QUALIFIER";53,1965887261623
"gnajmking";"GWL QUALIFIER";"savelyon";"GWL QUALIFIER";53,1998019180584
"tronsam7";"GWL 2025 S1";"itavitr7";"GWL QUALIFIER";53,2652852194979
"haksccp";"GWL 2025 S1";"rvsub";"GWL QUALIFIER";53,2763472324247
"mt7fx";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";53,3112209005742
"furtheus";"GWL QUALIFIER";"xldmikasa7";"GWL QUALIFIER";53,3413358864071
"e1vitinxp";"GWL 2025 S1";"savemaster7";"GWL QUALIFIER";53,3782164730819
"muniz2210";"GWL QUALIFIER";"antibad9";"GWL QUALIFIER";53,3875827907977
"sccppo7";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";53,3891369973783
"tronsam7";"GWL 2025 S1";"ravewpalan";"GWL QUALIFIER";53,4048775854535
"ckcfaelzx7";"GWL QUALIFIER";"ckcdn7w";"GWL QUALIFIER";53,4350465772738
"dr3easy";"GWL QUALIFIER";"rvkyotto";"GWL QUALIFIER";53,4570610143413
"gpsjoker7";"GWL 2025 S1";"ckcmspx7";"GWL QUALIFIER";53,5161869779181
"afwliu";"GWL 2025 S1";"koddell";"GWL QUALIFIER";53,614405388612
"rvmth7";"GWL QUALIFIER";"rvsub";"GWL QUALIFIER";53,7076775196869
"antitrevor9";"GWL QUALIFIER";"savelyon";"GWL QUALIFIER";53,7511027354148
"gnaslowzvx";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";53,7653350738778
"dr3isopor21";"GWL QUALIFIER";"bvbalves7";"GWL QUALIFIER";53,8129270649387
"rzn710";"GWL QUALIFIER";"rvsub";"GWL QUALIFIER";53,9777696045497
"zetsu9inco";"GWL 2025 S1";"realmiranha";"GWL QUALIFIER";54,0003021894619
"muniz2210";"GWL QUALIFIER";"mksete10";"GWL QUALIFIER";54,0339126997696
"savemaster7";"GWL QUALIFIER";"gpsbrisa7";"GWL QUALIFIER";54,1049737583324
"tronsam7";"GWL 2025 S1";"gnadx7rlq";"GWL QUALIFIER";54,1395009714004
"ckcfaelzx7";"GWL QUALIFIER";"mksete10";"GWL QUALIFIER";54,2390116627261
"savekohizz";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";54,2782963389982
"dr3isopor21";"GWL QUALIFIER";"savemaster7";"GWL QUALIFIER";54,5123991027716
"sccppo7";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";54,6772292402915
"crvgsphora";"GWL QUALIFIER";"duxkauxl";"GWL QUALIFIER";54,7263957352013
"dr3easy";"GWL QUALIFIER";"rstpedrin7";"GWL QUALIFIER";54,7520557412092
"painguszx";"GWL 2025 S1";"xldjapa7";"GWL QUALIFIER";54,8161873473825
"bvbgbzinn";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";54,8443857538007
"painguszx";"GWL 2025 S1";"koddell";"GWL QUALIFIER";54,995461021479
"crvgsphora";"GWL QUALIFIER";"ckcmspx7";"GWL QUALIFIER";55,0023779338755
"antingelo7";"GWL 2025 S1";"rzn710";"GWL QUALIFIER";55,0293296813796
"logeneral";"GWL 2025 S1";"antibad9";"GWL QUALIFIER";55,0380391485094
"saintsis";"GWL QUALIFIER";"koddell";"GWL QUALIFIER";55,0602512960681
"bvbgbzinn";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";55,1320798119401
"savemaster7";"GWL QUALIFIER";"mazestand";"GWL QUALIFIER";55,1595167492707
"kalangoshow";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";55,2776974424898
"incobielgod";"GWL 2025 S1";"saintsis";"GWL QUALIFIER";55,3858407379075
"painpeter";"GWL 2025 S1";"ckcdn7w";"GWL QUALIFIER";55,4116625488518
"a7ojo7";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";55,5180485626789
"ckcericw";"GWL QUALIFIER";"itavitr7";"GWL QUALIFIER";55,5425607417622
"furtheus";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";55,6227538573909
"rzn710";"GWL QUALIFIER";"mksete10";"GWL QUALIFIER";55,7128085544424
"logeneral";"GWL 2025 S1";"tjndrop7";"GWL QUALIFIER";55,7248060696176
"logeneral";"GWL 2025 S1";"rvsub";"GWL QUALIFIER";55,7837740253255
"saveyann7wp";"GWL QUALIFIER";"almgacha";"GWL QUALIFIER";55,8427996161757
"ckccachorin";"GWL QUALIFIER";"mazedelta";"GWL QUALIFIER";55,8558831037046
"antingelo7";"GWL 2025 S1";"rvkyotto";"GWL QUALIFIER";55,8620631944307
"losnando9";"GWL 2025 S1";"mazedelta";"GWL QUALIFIER";55,8682035536719
"gnaslowzvx";"GWL QUALIFIER";"rvsub";"GWL QUALIFIER";55,8713273734289
"e1picpay";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";55,8737048505404
"mazepacheco";"GWL QUALIFIER";"mazestand";"GWL QUALIFIER";55,880366039673
"gpsjoker7";"GWL 2025 S1";"realmiranha";"GWL QUALIFIER";55,9768733638362
"ckccachorin";"GWL QUALIFIER";"bvbneymar";"GWL QUALIFIER";55,9880926544321
"mazepacheco";"GWL QUALIFIER";"mksete10";"GWL QUALIFIER";56,0380914443484
"gpssam7";"GWL QUALIFIER";"tjncardoso";"GWL QUALIFIER";56,0491480882521
"incoxguto7";"GWL 2025 S1";"savemaster7";"GWL QUALIFIER";56,1411164426744
"losnando9";"GWL 2025 S1";"xldericking";"GWL QUALIFIER";56,144438128529
"dr3isopor21";"GWL QUALIFIER";"mazestand";"GWL QUALIFIER";56,2494828705732
"incobielgod";"GWL 2025 S1";"itavitr7";"GWL QUALIFIER";56,2752841373822
"bvbfnx04";"GWL 2025 S1";"saintyeezy";"GWL QUALIFIER";56,2777012209631
"mt7fx";"GWL 2025 S1";"mazedelta";"GWL QUALIFIER";56,3131523922305
"bvbfnx04";"GWL 2025 S1";"dr3luanzz";"GWL QUALIFIER";56,4349773534525
"afluan7";"GWL QUALIFIER";"tjndrop7";"GWL QUALIFIER";56,4790086314886
"itasix7cpt";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";56,5116883836737
"ckcericw";"GWL QUALIFIER";"furxxyxx";"GWL QUALIFIER";56,6300761317638
"mt7fx";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";56,6356897201544
"bvbneymar";"GWL QUALIFIER";"ckcmspx7";"GWL QUALIFIER";56,7427049784358
"savemaster7";"GWL QUALIFIER";"mazese7en";"GWL QUALIFIER";56,7588558485797
"saintsis";"GWL QUALIFIER";"saintjackal";"GWL QUALIFIER";56,7668490174102
"losnando9";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";56,7739345106719
"itasix7cpt";"GWL QUALIFIER";"rvkyotto";"GWL QUALIFIER";56,8207689717642
"a7ojo7";"GWL 2025 S1";"crvgsphora";"GWL QUALIFIER";56,8860798250911
"dr3easy";"GWL QUALIFIER";"ckcdn7w";"GWL QUALIFIER";57,1333510518884
"ravesam7mvp";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";57,2154642972898
"a7deusvida";"GWL 2025 S1";"rstpedrin7";"GWL QUALIFIER";57,2698009085045
"bvbneymar";"GWL QUALIFIER";"rstpedrin7";"GWL QUALIFIER";57,3815777014846
"bvbfnx04";"GWL 2025 S1";"gnaslowzvx";"GWL QUALIFIER";57,3959280193717
"gpsmgx88";"GWL QUALIFIER";"almitzking1";"GWL QUALIFIER";57,5398046111975
"afwliu";"GWL QUALIFIER";"savemaster7";"GWL QUALIFIER";57,591062450098
"zetsu9inco";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";57,6019397782123
"sccpmala";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";57,6963491804714
"antingelo7";"GWL 2025 S1";"tjncardoso";"GWL QUALIFIER";57,7072904748589
"a7ojo7";"GWL 2025 S1";"ravesam7mvp";"GWL QUALIFIER";57,9030965809991
"civilnando7";"GWL 2025 S1";"duxkauxl";"GWL QUALIFIER";57,9122289335155
"afluan7";"GWL QUALIFIER";"ckcdn7w";"GWL QUALIFIER";57,9127807314012
"crvgmts007";"GWL 2025 S1";"tdcapito7";"GWL QUALIFIER";57,9348850241144
"gpsmgx88";"GWL QUALIFIER";"koddell";"GWL QUALIFIER";57,9912852935945
"sccpmala";"GWL 2025 S1";"duxtsx7";"GWL QUALIFIER";58,0245053822507
"ravesam7mvp";"GWL QUALIFIER";"koddell";"GWL QUALIFIER";58,1625740216664
"painpeter";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";58,2487417365526
"aflins7";"GWL 2025 S1";"rvkyotto";"GWL QUALIFIER";58,2616584538491
"rock7ggb8";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";58,2749539768663
"mazedelta";"GWL QUALIFIER";"almgacha";"GWL QUALIFIER";58,2775449996007
"painpeter";"GWL 2025 S1";"mazestand";"GWL QUALIFIER";58,3128915029726
"gpssam7";"GWL QUALIFIER";"itavitr7";"GWL QUALIFIER";58,3396162655817
"rock7ggb8";"GWL QUALIFIER";"ckcdn7w";"GWL QUALIFIER";58,3992700646052
"mazepacheco";"GWL QUALIFIER";"mazese7en";"GWL QUALIFIER";58,5427795912392
"bvbneymar";"GWL QUALIFIER";"ckccachorin";"GWL QUALIFIER";58,5885029398069
"xldmikasa7";"GWL QUALIFIER";"bvbnielx7";"GWL QUALIFIER";58,6036780079286
"sccpmala";"GWL 2025 S1";"rvsub";"GWL QUALIFIER";58,6101975244196
"ckcfaelzx7";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";58,6613721006128
"bvbalves7";"GWL QUALIFIER";"dr3isopor21";"GWL QUALIFIER";58,6650830903024
"gpsmgx88";"GWL QUALIFIER";"mksete10";"GWL QUALIFIER";59,1293982505973
"nodaspeed";"GWL 2025 S1";"mazese7en";"GWL QUALIFIER";59,2804853664601
"civilnando7";"GWL 2025 S1";"bvbnielx7";"GWL QUALIFIER";59,2867427171877
"rstfrank";"GWL QUALIFIER";"itavitr7";"GWL QUALIFIER";59,3575443657979
"dr3luanzz";"GWL QUALIFIER";"bvbnielx7";"GWL QUALIFIER";59,3767848688546
"cptlyon";"GWL 2025 S1";"itavitr7";"GWL QUALIFIER";59,3822259346044
"incostrike";"GWL 2025 S1";"ckcdakemsp";"GWL QUALIFIER";59,4168637392694
"gnajmking";"GWL QUALIFIER";"rvsub";"GWL QUALIFIER";59,425628890409
"dr3luanzz";"GWL QUALIFIER";"ckcdn7w";"GWL QUALIFIER";59,5081659524867
"a7deusvida";"GWL 2025 S1";"ravewpalan";"GWL QUALIFIER";59,5970837323059
"rstsuplayy9";"GWL QUALIFIER";"mazestand";"GWL QUALIFIER";59,6682404150773
"rstfrank";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";59,6765578097533
"bvbalves7";"GWL QUALIFIER";"tdcapito7";"GWL QUALIFIER";59,7231408181727
"bvbalves7";"GWL QUALIFIER";"tjncardoso";"GWL QUALIFIER";59,7588958873274
"furxxyxx";"GWL QUALIFIER";"rstsuplayy9";"GWL QUALIFIER";59,7634875427065
"almisacksr";"GWL QUALIFIER";"rvsub";"GWL QUALIFIER";59,7792598059439
"savekohizz";"GWL QUALIFIER";"mazese7en";"GWL QUALIFIER";59,8050467649496
"almgacha";"GWL QUALIFIER";"mazedelta";"GWL QUALIFIER";59,8056525862659
"antibad9";"GWL QUALIFIER";"mazese7en";"GWL QUALIFIER";59,8131154375551
"almisacksr";"GWL QUALIFIER";"almitzking1";"GWL QUALIFIER";59,861329758811
"almgacha";"GWL QUALIFIER";"saveyann7wp";"GWL QUALIFIER";59,8631360135478
"infgoabe7";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";59,8648688584396
"nodaspeed";"GWL 2025 S1";"ckcdn7w";"GWL QUALIFIER";59,9432757378323
"saintsis";"GWL QUALIFIER";"rstfrank";"GWL QUALIFIER";59,9549238419147
"a7deusvida";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";59,9953653059416
"louddraxx7";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";60,0009907045477
"tsnickz7";"GWL 2025 S1";"ckcdn7w";"GWL QUALIFIER";60,0540026063855
"almisacksr";"GWL QUALIFIER";"bvbnielx7";"GWL QUALIFIER";60,0670167833335
"cptlyon";"GWL 2025 S1";"bvbreis7";"GWL QUALIFIER";60,1697403142151
"tsnickz7";"GWL 2025 S1";"gpsxxxy";"GWL QUALIFIER";60,2428311693647
"infgoabe7";"GWL 2025 S1";"gnaslowzvx";"GWL QUALIFIER";60,2703320227653
"dr3luanzz";"GWL QUALIFIER";"antibad9";"GWL QUALIFIER";60,473422332821
"louddraxx7";"GWL 2025 S1";"rstpedrin7";"GWL QUALIFIER";60,5036031400733
"itasix7cpt";"GWL QUALIFIER";"tjncardoso";"GWL QUALIFIER";60,5286489819509
"furxxyxx";"GWL QUALIFIER";"tjndrop7";"GWL QUALIFIER";60,548445916253
"rock7ggb8";"GWL QUALIFIER";"duxkauxl";"GWL QUALIFIER";60,6121577203215
"incostrike";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";60,6345721600496
"mazedelta";"GWL QUALIFIER";"gpsmgx88";"GWL QUALIFIER";60,7248963973534
"rzn710";"GWL QUALIFIER";"xldjapa7";"GWL QUALIFIER";60,789534895349
"xldlucasawp";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";61,0218721382327
"xldguifox7";"GWL QUALIFIER";"almitzking1";"GWL QUALIFIER";61,0341042616603
"tigro";"GWL QUALIFIER";"mazese7en";"GWL QUALIFIER";61,0565628454714
"menopecinha";"GWL 2025 S1";"mazedelta";"GWL QUALIFIER";61,0597994525599
"e1picpay";"GWL 2025 S1";"mazedelta";"GWL QUALIFIER";61,1269806958897
"gpssam7";"GWL QUALIFIER";"almisacksr";"GWL QUALIFIER";61,2057824171299
"rstsuplayy9";"GWL QUALIFIER";"furxxyxx";"GWL QUALIFIER";61,2824281855434
"tjncardoso";"GWL QUALIFIER";"rstpedrin7";"GWL QUALIFIER";61,3204805736053
"nodaspeed";"GWL 2025 S1";"mazestand";"GWL QUALIFIER";61,402769130146
"e1iguinmvp";"GWL 2025 S1";"duxkauxl";"GWL QUALIFIER";61,4431338126096
"afluan7";"GWL QUALIFIER";"mksete10";"GWL QUALIFIER";61,5581451139809
"ravewpalan";"GWL QUALIFIER";"bvbreis7";"GWL QUALIFIER";61,6149115078997
"incostrike";"GWL 2025 S1";"ckcdn7w";"GWL QUALIFIER";61,6793438905193
"tectoy22";"GWL 2025 S1";"rstpedrin7";"GWL QUALIFIER";61,7284075355948
"ckcericw";"GWL QUALIFIER";"koddell";"GWL QUALIFIER";61,7730349155394
"cptrennan7";"GWL 2025 S1";"duxkauxl";"GWL QUALIFIER";61,800287939808
"cptlyon";"GWL 2025 S1";"bvbnielx7";"GWL QUALIFIER";61,8814384321243
"fxgiuhbau";"GWL 2025 S1";"mksete10";"GWL QUALIFIER";61,8987319508696
"civilnando7";"GWL 2025 S1";"bvbreis7";"GWL QUALIFIER";61,953506457722
"antibad9";"GWL QUALIFIER";"tjndrop7";"GWL QUALIFIER";61,9550430107258
"mazese7en";"GWL QUALIFIER";"ckcdn7w";"GWL QUALIFIER";62,1347038653176
"xldlucasawp";"GWL 2025 S1";"bvbneymar";"GWL QUALIFIER";62,2028617051352
"itjluffy245";"GWL 2025 S1";"gnadx7rlq";"GWL QUALIFIER";62,2180729046922
"e1iguinmvp";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";62,3318983134433
"antibad9";"GWL QUALIFIER";"mazestand";"GWL QUALIFIER";62,3361947881277
"xldmikasa7";"GWL QUALIFIER";"tjndrop7";"GWL QUALIFIER";62,3538936074981
"infgoabe7";"GWL 2025 S1";"koddell";"GWL QUALIFIER";62,4903044212964
"rvkyotto";"GWL QUALIFIER";"gnadx7rlq";"GWL QUALIFIER";62,4928068502243
"w7mshowmen";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";62,569684479235
"e1picpay";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";62,6628345904348
"itjluffy245";"GWL 2025 S1";"koddell";"GWL QUALIFIER";62,7491945135334
"tjncardoso";"GWL QUALIFIER";"itavitr7";"GWL QUALIFIER";62,7637606044532
"zetsu9inco";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";62,7810228765753
"almgacha";"GWL QUALIFIER";"tjnwadking";"GWL QUALIFIER";62,79272554443
"rvsub";"GWL QUALIFIER";"tjndrop7";"GWL QUALIFIER";62,8081948212814
"fxgiuhbau";"GWL 2025 S1";"tjndrop7";"GWL QUALIFIER";62,8158125467277
"aflins7";"GWL 2025 S1";"tjnwadking";"GWL QUALIFIER";62,8159523734242
"cptrennan7";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";62,8911115919242
"w7mshowmen";"GWL 2025 S1";"mazestand";"GWL QUALIFIER";62,8964885390688
"crvgmts007";"GWL 2025 S1";"koddell";"GWL QUALIFIER";63,0631418496768
"dbxsetezz";"GWL QUALIFIER";"ckcrtx9";"GWL QUALIFIER";63,0662458089439
"xldmikasa7";"GWL QUALIFIER";"koddell";"GWL QUALIFIER";63,0795873988088
"saveblack02";"GWL 2025 S1";"tjndrop7";"GWL QUALIFIER";63,0967452031075
"aflins7";"GWL 2025 S1";"almgacha";"GWL QUALIFIER";63,1491453991186
"tjncardoso";"GWL QUALIFIER";"gnadx7rlq";"GWL QUALIFIER";63,1597777539955
"tsnickz7";"GWL 2025 S1";"ckcrtx9";"GWL QUALIFIER";63,1805367709414
"menopecinha";"GWL 2025 S1";"rstpedrin7";"GWL QUALIFIER";63,2027661623
"afbyte333";"GWL QUALIFIER";"ckcdn7w";"GWL QUALIFIER";63,2452177039378
"rstfrank";"GWL QUALIFIER";"saintsis";"GWL QUALIFIER";63,2642192135128
"e1iguinmvp";"GWL 2025 S1";"koddell";"GWL QUALIFIER";63,3257326060859
