"musica";"musica_parecida";"nivel_de_similaridade"
"Cronômetro - Ao Vivo - Matheus & Kauan";"Nada Com Nada - Ao Vivo";92,4948019711292
"Mentirosa - Ao Vivo - Hugo & Guilherme, Wesley Safadão";"Última Vez - Ao Vivo";92,4131324870087
"Cachorro - Thiago Carvalho";"Saudade Burra - Ao Vivo";92,4081612832826
"365 Dias (Vida Mansa) - MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael";"Vida de Artista";92,3975385626557
"SEQUÊNCIA STRIPTEASE - PEDRO SAMPAIO, Mc Gw, Mc Debby, Mc Talibã";"Nossas Fotos";92,3521458535567
"Imã de Problema - Henry Freitas, Mc Th";"Sei Que Tu Me Odeia";92,3188195450947
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"Body Splash - Ao Vivo";92,3140619449358
"Mentirosa - Ao Vivo - Hugo & Guilherme, Wesley Safadão";"UM PALMO - Ao Vivo";92,309532636407
"Lovezin Bandido - Melody, Latino, HITMAKER";"SEQUÊNCIA STRIPTEASE";92,304553317893
"Imã de Problema - Henry Freitas, Mc Th";"Tando";92,2728647751899
"Medley de Igaratá 4 - Mc Negão Original, DJ Guh Mix";"Medley de Igaratá 3";92,2619840315821
"Desencontro de Mensagem - Marília Tavares";"O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo";92,2586641708899
"Mentirosa - Ao Vivo - Hugo & Guilherme, Wesley Safadão";"Amigo Da Minha Saudade - Ao Vivo";92,1769670419832
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Vai Lá - Ao Vivo em Goiânia";92,1748788311753
"Nossas Fotos - Felipe Amorim, Zé Felipe";"SEQUÊNCIA STRIPTEASE";92,1666203529571
"Vai Lá - Ao Vivo em Goiânia - Maiara & Maraisa";"UM PALMO - Ao Vivo";92,1587756069259
"Vida de Artista - MC Joãozinho VT, MC Tuto, Deejhay RB";"MTG PASSA PASSA PRA EU SARRAR";92,1118201330921
"SEQUÊNCIA STRIPTEASE - PEDRO SAMPAIO, Mc Gw, Mc Debby, Mc Talibã";"Saveiro";92,0945570981462
"Medley de Igaratá 3 - Mc Negão Original, DJ Guh Mix, DJ Japa NK";"Medley de Igaratá 4";92,0828745108715
"Ilusão De Ótica - Ao Vivo - Matheus & Kauan, Ana Castela";"Vai Lá - Ao Vivo em Goiânia";92,0436455697427
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Banquinho - Ao Vivo";92,0042837779221
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Banquinho - Ao Vivo";92,0042837779221
"Tando - Nuzio Medeiros, Henry Freitas, Kadu Martins";"Imã de Problema";91,9995356316172
"Cantada Boba - Ao Vivo - Jorge & Mateus";"Lapada Dela - Ao Vivo";91,9876138576901
"Tando - Nuzio Medeiros, Henry Freitas, Kadu Martins";"Mentira Estampada";91,9745838644156
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Sujeito Homem - Ao Vivo";91,9615859426935
"A Danada Me Ligando - MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako";"Chapa Máxima";91,9315623650189
"Toma Que Toma - Mc Negão Original, MC Cebezinho, Dj Yuri Pedrada, Mc Fidelis, MC GP, MC Jvila";"Observando Essa Salada";91,9294262104521
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo";91,9170770184718
"Abracadabra - Lady Gaga";"Saudade Burra - Ao Vivo";91,8943447338695
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Sei Tocar Violão - Ao Vivo";91,8342077386729
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Sei Tocar Violão - Ao Vivo";91,8342077386729
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Mentirosa - Ao Vivo";91,82191941815
"Mentira Estampada - Wesley Safadão, Natanzinho Lima";"Tando";91,8191723561289
"Body Splash - Ao Vivo - Felipe Araújo, Luan Pereira";"Sei Tocar Violão - Ao Vivo";91,8113775383592
"Dia 1 - Versão Forró - Henry Freitas, Hugo Henrique";"Banquinho - Ao Vivo";91,8084052946214
"Dia 1 - Versão Forró - Henry Freitas, Hugo Henrique";"Banquinho - Ao Vivo";91,8084052946214
"Resenha do Arrocha - J. Eskine, Alef Donk";"Mentira Estampada";91,7761150249004
"Resenha do Arrocha - J. Eskine, Alef Donk";"Tando";91,769934404938
"Sei Que Tu Me Odeia - Anitta, Mc Danny, HITMAKER";"Saveiro";91,7616738552698
"Cronômetro - Ao Vivo - Matheus & Kauan";"Banquinho - Ao Vivo";91,7550189769011
"Cronômetro - Ao Vivo - Matheus & Kauan";"Banquinho - Ao Vivo";91,7550189769011
"Tando - Nuzio Medeiros, Henry Freitas, Kadu Martins";"Resenha do Arrocha";91,7482290827209
"Saveiro - Kaique e Felipe, Luan Pereira";"SEQUÊNCIA STRIPTEASE";91,745900038841
"Envolvidão (feat. DG e Batidão Stronda) - Breno Major, Zé Felipe, Alanzim Coreano, DG e Batidão Stronda";"Toque de Romance (feat. Dodô Pressão) - Remix Forró";91,7111770264925
"Oh Garota Eu Quero Você Só Pra Mim - Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves";"MOTINHA 2.0 (Mete Marcha)";91,6561421582838
"Nada Com Nada - Ao Vivo - Gustavo Mioto, Grupo Menos É Mais";"Ilusão De Ótica - Ao Vivo";91,6526761583272
"MTG PASSA PASSA PRA EU SARRAR - Mc Livinho, DJ TOPO";"Vida de Artista";91,6499323557574
"Cronômetro - Ao Vivo - Matheus & Kauan";"Ilusão De Ótica - Ao Vivo";91,5984274413373
"Mentira Estampada - Wesley Safadão, Natanzinho Lima";"Resenha do Arrocha";91,5947511562083
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Body Splash - Ao Vivo";91,5665023155274
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Body Splash - Ao Vivo";91,5665023155274
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"UM PALMO - Ao Vivo";91,5414654658726
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Cronômetro - Ao Vivo";91,5409420148664
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Cronômetro - Ao Vivo";91,5409420148664
"Observando Essa Salada - MC Cebezinho, Dj Yuri Pedrada, Love Funk";"Toma Que Toma";91,4556765202562
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Amigo Da Minha Saudade - Ao Vivo";91,4502006053824
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Amigo Da Minha Saudade - Ao Vivo";91,4502006053824
"Xonei - Jorge & Mateus, Henrique & Juliano";"Última Noite - Solo";91,4348798341902
"E Aí Como Que Tá ? - MC Tuto, Oldilla";"Eu sou Cantor Não Sou Bandido";91,3810405016087
"Xonei - Jorge & Mateus, Henrique & Juliano";"Dia 1 - Versão Forró";91,3546616934624
"MOTINHA 2.0 (Mete Marcha) - DENNIS, Luísa Sonza";"Lovezin Bandido";91,3484238877813
"Toque de Romance (feat. Dodô Pressão) - Remix Forró - Henry Freitas, Kadu Martins, Arthurzim, Dodô Pressão";"Envolvidão (feat. DG e Batidão Stronda)";91,2918167875968
"Última Vez - Ao Vivo - Naiara Azevedo, Clayton & Romário";"Amigo Da Minha Saudade - Ao Vivo";91,285353557999
"Ilusão De Ótica - Ao Vivo - Matheus & Kauan, Ana Castela";"Nada Com Nada - Ao Vivo";91,2598482359192
"Imã de Problema - Henry Freitas, Mc Th";"SEQUÊNCIA STRIPTEASE";91,2575754180261
"Triplex - Ao Vivo - Matheus Fernandes, Matheus & Kauan";"Mentirosa - Ao Vivo";91,2558585151407
"Ilusão De Ótica - Ao Vivo - Matheus & Kauan, Ana Castela";"Cronômetro - Ao Vivo";91,2533076874627
"Triplex - Ao Vivo - Matheus Fernandes, Matheus & Kauan";"Pilantra e Meio";91,2178449912605
"Triplex - Ao Vivo - Matheus Fernandes, Matheus & Kauan";"Pilantra e Meio";91,2178449912605
"Última Noite - Solo - Léo Foguete";"Xonei";91,2116746094933
"Não Adianta Chorar - BK, JXNV$, Pretinho da Serrinha";"Você Pode Ir Além";91,189428972706
"O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo - Hugo & Guilherme, Maiara & Maraisa";"Desencontro de Mensagem";91,1881282026058
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"Dia 1 - Versão Forró";91,151316323373
"Mentirosa - Ao Vivo - Hugo & Guilherme, Wesley Safadão";"Triplex - Ao Vivo";91,1396259257954
"SEQUÊNCIA STRIPTEASE - PEDRO SAMPAIO, Mc Gw, Mc Debby, Mc Talibã";"Imã de Problema";91,1363907474068
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"Pilantra e Meio";91,1337435057219
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"Pilantra e Meio";91,1337435057219
"Cronômetro - Ao Vivo - Matheus & Kauan";"Gosta De Rua - Ao Vivo";91,0926763155366
"Cronômetro - Ao Vivo - Matheus & Kauan";"Gosta De Rua - Ao Vivo";91,0926763155366
"Lovezin Bandido - Melody, Latino, HITMAKER";"MOTINHA 2.0 (Mete Marcha)";91,0503012752728
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Triplex - Ao Vivo";91,0478286195505
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Triplex - Ao Vivo";91,0478286195505
"Medley de Igaratá 4 - Mc Negão Original, DJ Guh Mix";"365 Dias (Vida Mansa)";91,0148190331349
"Última Vez - Ao Vivo - Naiara Azevedo, Clayton & Romário";"UM PALMO - Ao Vivo";90,9935438084423
"Vai Lá - Ao Vivo em Goiânia - Maiara & Maraisa";"Ilusão De Ótica - Ao Vivo";90,9774829556269
"Nossas Fotos - Felipe Amorim, Zé Felipe";"Vai Lá - Ao Vivo em Goiânia";90,9771431743266
"Ilusão De Ótica - Ao Vivo - Matheus & Kauan, Ana Castela";"UM PALMO - Ao Vivo";90,9760825249029
"SEQUÊNCIA STRIPTEASE - PEDRO SAMPAIO, Mc Gw, Mc Debby, Mc Talibã";"Peça Íntima";90,9222278298169
"Medley de Igaratá 3 - Mc Negão Original, DJ Guh Mix, DJ Japa NK";"365 Dias (Vida Mansa)";90,8781127589205
"De Graça ou Pagando - Grelo";"Vida de Artista";90,8313603942507
"Peça Íntima - Murilo Huff, Ana Castela";"Amor Na Praia";90,8287865708824
"Namora Ela - Ao Vivo - Bruno & Denner, Hugo & Guilherme";"Sujeito Homem - Ao Vivo";90,8187323135335
"Imã de Problema - Henry Freitas, Mc Th";"Mentira Estampada";90,7894038170305
"Abracadabra - Lady Gaga";"Peça Íntima";90,7891381979961
"365 Dias (Vida Mansa) - MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael";"Medley de Igaratá 3";90,785705505852
"Ilusão De Ótica - Ao Vivo - Matheus & Kauan, Ana Castela";"Xonei";90,7783516505458
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Última Vez - Ao Vivo";90,7654351547879
"Última Noite - NATTAN, Léo Foguete";"Dia 1 - Versão Forró";90,7587841591127
"Fechando o Circo - Ao Vivo - Guilherme & Benuto, NATTAN";"Sei Que Tu Me Odeia";90,7514492619665
"MOTINHA 2.0 (Mete Marcha) - DENNIS, Luísa Sonza";"Vida de Artista";90,7374791362786
"365 Dias (Vida Mansa) - MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael";"Medley de Igaratá 4";90,7137125124405
"Saveiro - Kaique e Felipe, Luan Pereira";"Lovezin Bandido";90,7128986260658
"Saudade Burra - Ao Vivo - Lauana Prado, Simone Mendes";"Cachorro";90,7026893033555
"Sujeito Homem - Ao Vivo - Guilherme & Benuto";"Namora Ela - Ao Vivo";90,6564172185975
"Peça Íntima - Murilo Huff, Ana Castela";"Abracadabra";90,6488489678671
"APT. - ROSÉ, Bruno Mars";"Vai Lá - Ao Vivo em Goiânia";90,6167103280199
"Sei Que Tu Me Odeia - Anitta, Mc Danny, HITMAKER";"Imã de Problema";90,5974926868718
"Meu Carro nao tem Porta Luva - Remastered 2024 - DJ NATAN 22, Mc Rodrigo do CN";"Toma Que Toma";90,564101821449
"Nada Com Nada - Ao Vivo - Gustavo Mioto, Grupo Menos É Mais";"Xonei";90,5639025072618
"Lapada Dela - Ao Vivo - Grupo Menos É Mais, Matheus Fernandes";"Apaguei Pra Todos - Ao Vivo";90,5624030721623
"Xonei - Jorge & Mateus, Henrique & Juliano";"Ilusão De Ótica - Ao Vivo";90,4911918474161
"Vida de Artista - MC Joãozinho VT, MC Tuto, Deejhay RB";"MOTINHA 2.0 (Mete Marcha)";90,4910453227054
"Lapada Dela - Ao Vivo - Grupo Menos É Mais, Matheus Fernandes";"Cantada Boba - Ao Vivo";90,487709272399
"Cantada Boba - Ao Vivo - Jorge & Mateus";"Apaguei Pra Todos - Ao Vivo";90,475435880691
"Tando - Nuzio Medeiros, Henry Freitas, Kadu Martins";"Lovezin Bandido";90,4644150595711
"Toma Que Toma - Mc Negão Original, MC Cebezinho, Dj Yuri Pedrada, Mc Fidelis, MC GP, MC Jvila";"Meu Carro nao tem Porta Luva - Remastered 2024";90,3981213662471
"A Danada Me Ligando - MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako";"Eu sou Cantor Não Sou Bandido";90,3801169110658
"Puta É Só um Detalhe - DJ Douglinhas, DJ Miller Oficial, MC Torugo";"A Danada Me Ligando";90,3762767020236
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Amigo Da Minha Saudade - Ao Vivo";90,3598401434962
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Amigo Da Minha Saudade - Ao Vivo";90,3598401434962
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"Banquinho - Ao Vivo";90,3542560996628
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"Banquinho - Ao Vivo";90,3542560996628
"Pampa - CountryBeat, Mc Daniel";"Vou Raspar Seu Bigodin";90,3126509335792
"Vida de Artista - MC Joãozinho VT, MC Tuto, Deejhay RB";"Medley de Igaratá 3";90,2909393536198
"Mentira Estampada - Wesley Safadão, Natanzinho Lima";"Imã de Problema";90,2789291793863
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Sem Você";90,2467143828497
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Sem Você";90,2467143828497
"Body Splash - Ao Vivo - Felipe Araújo, Luan Pereira";"Pilantra e Meio";90,2441826193638
"Body Splash - Ao Vivo - Felipe Araújo, Luan Pereira";"Pilantra e Meio";90,2441826193638
"Peça Íntima - Murilo Huff, Ana Castela";"SEQUÊNCIA STRIPTEASE";90,2310731908927
"2025 - MC Tuto, DJ Oreia";"Chapa Máxima";90,220545479737
"Cronômetro - Ao Vivo - Matheus & Kauan";"Dia 1 - Versão Forró";90,200779828255
"Dia 1 - Versão Forró - Henry Freitas, Hugo Henrique";"Xonei";90,1998233562238
"Eu sou Cantor Não Sou Bandido - Mc Lele JP, MC Marks, MC Leozinho ZS, MC Joãozinho VT";"E Aí Como Que Tá ?";90,1707875489346
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Sei Tocar Violão - Ao Vivo";90,1286594726657
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Sei Tocar Violão - Ao Vivo";90,1286594726657
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Mentirosa - Ao Vivo";90,1281348110435
"Medley de Igaratá 3 - Mc Negão Original, DJ Guh Mix, DJ Japa NK";"Vida de Artista";90,1091848402049
"Cronômetro - Ao Vivo - Matheus & Kauan";"UM PALMO - Ao Vivo";90,0799595372826
"Triplex - Ao Vivo - Matheus Fernandes, Matheus & Kauan";"UM PALMO - Ao Vivo";90,0626361271594
"Chapa Máxima - Boladin 211, MC Rick, MC Leozinho ZS, CAO$, Dj Lv Mdp";"A Danada Me Ligando";90,0534922844384
"O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo - Hugo & Guilherme, Maiara & Maraisa";"Sei Tocar Violão - Ao Vivo";90,0202626575814
"Nada Com Nada - Ao Vivo - Gustavo Mioto, Grupo Menos É Mais";"Dia 1 - Versão Forró";90,0188649013443
"Banquinho - Ao Vivo - Felipe e Rodrigo";"UM PALMO - Ao Vivo";90,0021423947108
"Banquinho - Ao Vivo - Felipe e Rodrigo";"UM PALMO - Ao Vivo";90,0021423947108
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Pilantra e Meio";89,9822992715571
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Pilantra e Meio";89,9822992715571
"Medley de Igaratá 3 - Mc Negão Original, DJ Guh Mix, DJ Japa NK";"MTG PASSA PASSA PRA EU SARRAR";89,9682465427218
"Coração Partido (Corazón Partío) - Ao Vivo - Grupo Menos É Mais";"Só Quero Ver";89,9647061244017
"Sem Você - AgroPlay, Ana Castela, Léo Foguete";"Banquinho - Ao Vivo";89,9642913328784
"Sem Você - AgroPlay, Ana Castela, Léo Foguete";"Banquinho - Ao Vivo";89,9642913328784
"Só Quero Ver - BK, Deekapz, Evinha";"Coração Partido (Corazón Partío) - Ao Vivo";89,9436570473727
"Peça Íntima - Murilo Huff, Ana Castela";"Ilusão De Ótica - Ao Vivo";89,9415705468422
"Nossas Fotos - Felipe Amorim, Zé Felipe";"Saveiro";89,9218673039996
"Saveiro - Kaique e Felipe, Luan Pereira";"Banquinho - Ao Vivo";89,9195703939973
"Saveiro - Kaique e Felipe, Luan Pereira";"Banquinho - Ao Vivo";89,9195703939973
"Você Pode Ir Além - BK, FYE, Deekapz";"Não Adianta Chorar";89,9103527756368
"Amor Na Praia - NATTAN";"Peça Íntima";89,8833540391755
"Vai Lá - Ao Vivo em Goiânia - Maiara & Maraisa";"Saudade Burra - Ao Vivo";89,8808721846043
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Sujeito Homem - Ao Vivo";89,8352435545961
"Observando Essa Salada - MC Cebezinho, Dj Yuri Pedrada, Love Funk";"Eu sou Cantor Não Sou Bandido";89,82349643396
"Saudade Burra - Ao Vivo - Lauana Prado, Simone Mendes";"Abracadabra";89,8186384779559
"Xonei - Jorge & Mateus, Henrique & Juliano";"Nada Com Nada - Ao Vivo";89,8121707254245
"ESCADA DO PRÉDIO - PEDRO SAMPAIO, Marina Sena";"Malvadinho";89,8061860009127
"Vai Lá - Ao Vivo em Goiânia - Maiara & Maraisa";"APT.";89,7883015151586
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Ilusão De Ótica - Ao Vivo";89,7878803707966
"Arruma Um Bão - Israel & Rodolffo";"Desencontro de Mensagem";89,7805213841612
"Apaguei Pra Todos - Ao Vivo - Ferrugem, Sorriso Maroto";"Lapada Dela - Ao Vivo";89,7775022968795
"eu vou ser rico - Teto";"365 Dias (Vida Mansa)";89,750295711196
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Vai Lá - Ao Vivo em Goiânia";89,7426162170635
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Dia 1 - Versão Forró";89,7351553892079
"Saveiro - Kaique e Felipe, Luan Pereira";"Nossas Fotos";89,7266044051206
"Dia 1 - Versão Forró - Henry Freitas, Hugo Henrique";"O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo";89,7182934197273
"Vai Lá - Ao Vivo em Goiânia - Maiara & Maraisa";"UM PALMO - Ao Vivo";89,7095768470724
"APT. - ROSÉ, Bruno Mars";"Medley de Igaratá 3";89,7067863536677
"Fechando o Circo - Ao Vivo - Guilherme & Benuto, NATTAN";"Mentirosa - Ao Vivo";89,697498351888
"Amigo Da Minha Saudade - Ao Vivo - Henrique & Juliano";"Cantada Boba - Ao Vivo";89,6962325249906
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Arruma Um Bão";89,687635219307
"Banquinho - Ao Vivo - Felipe e Rodrigo";"Arruma Um Bão";89,687635219307
"Penélope Charmosa 2 - Boladin 211, Dejinha, MC Rick";"Vida de Artista";89,6834867284283
"Cantada Boba - Ao Vivo - Jorge & Mateus";"Amigo Da Minha Saudade - Ao Vivo";89,676981086041
"Sei Que Tu Me Odeia - Anitta, Mc Danny, HITMAKER";"Vai Lá - Ao Vivo em Goiânia";89,6729337318563
"Penélope Charmosa 2 - Boladin 211, Dejinha, MC Rick";"MTG PASSA PASSA PRA EU SARRAR";89,669996632973
"Sujeito Homem - Ao Vivo - Guilherme & Benuto";"Amigo Da Minha Saudade - Ao Vivo";89,6545010195128
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Amigo Da Minha Saudade - Ao Vivo";89,6135918788142
"Mentirosa - Ao Vivo - Hugo & Guilherme, Wesley Safadão";"Fechando o Circo - Ao Vivo";89,6034058793221
"Vida de Artista - MC Joãozinho VT, MC Tuto, Deejhay RB";"De Graça ou Pagando";89,595686758291
"Saveiro - Kaique e Felipe, Luan Pereira";"Cachorro";89,5844667444738
"MTG PASSA PASSA PRA EU SARRAR - Mc Livinho, DJ TOPO";"Medley de Igaratá 3";89,5759816501684
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Dia 1 - Versão Forró";89,5581631155246
"Tando - Nuzio Medeiros, Henry Freitas, Kadu Martins";"De Graça ou Pagando";89,5570518736972
"MOTINHA 2.0 (Mete Marcha) - DENNIS, Luísa Sonza";"Oh Garota Eu Quero Você Só Pra Mim";89,5559062281192
"UM PALMO - Ao Vivo - Luan Pereira, Léo Foguete";"Saudade Burra - Ao Vivo";89,553757800434
"Vai Lá - Ao Vivo em Goiânia - Maiara & Maraisa";"Dia 1 - Versão Forró";89,5485012525524
"Eu sou Cantor Não Sou Bandido - Mc Lele JP, MC Marks, MC Leozinho ZS, MC Joãozinho VT";"Observando Essa Salada";89,5449006233176
"O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo - Hugo & Guilherme, Maiara & Maraisa";"Dia 1 - Versão Forró";89,5418442588749
"Saudade Burra - Ao Vivo - Lauana Prado, Simone Mendes";"Vai Lá - Ao Vivo em Goiânia";89,5091425740075
"Desencontro de Mensagem - Marília Tavares";"Arruma Um Bão";89,5055476738166
"Arruma Um Bão - Israel & Rodolffo";"Xonei";89,5005118381057
"Nada Com Nada - Ao Vivo - Gustavo Mioto, Grupo Menos É Mais";"Gosta De Rua - Ao Vivo";89,49455366065
"Nada Com Nada - Ao Vivo - Gustavo Mioto, Grupo Menos É Mais";"Gosta De Rua - Ao Vivo";89,49455366065
"Sei Tocar Violão - Ao Vivo - Clayton & Romário";"Desencontro de Mensagem";89,4803305647243
"A Danada Me Ligando - MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako";"Puta É Só um Detalhe";89,4687703848713
"365 Dias (Vida Mansa) - MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael";"Dia 1 - Versão Forró";89,4483108434404
"É Que Eu Sofri Demais - Kleyton Souza";"Coração Partido (Corazón Partío) - Ao Vivo";89,4355950023942
"Abracadabra - Lady Gaga";"Cachorro";89,4249196175906
"Ilusão De Ótica - Ao Vivo - Matheus & Kauan, Ana Castela";"Peça Íntima";89,414738156544
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Cantada Boba - Ao Vivo";89,4090237688691
"Pilantra e Meio - Eric Land, Natanzinho Lima";"Cantada Boba - Ao Vivo";89,4090237688691
"Dia 1 - Versão Forró - Henry Freitas, Hugo Henrique";"UM PALMO - Ao Vivo";89,3976767796541
"Você Lembra - Ao Vivo - Márcia Fellipe, Raphaela Santos";"PARECE - Ao Vivo";89,3916990481009
"Você Lembra - Ao Vivo - Márcia Fellipe, Raphaela Santos";"PARECE - Ao Vivo";89,3916990481009
"Peça Íntima - Murilo Huff, Ana Castela";"Vai Lá - Ao Vivo em Goiânia";89,3626576475583
"Triplex - Ao Vivo - Matheus Fernandes, Matheus & Kauan";"Cantada Boba - Ao Vivo";89,3573162871875
"Arruma Um Bão - Israel & Rodolffo";"Banquinho - Ao Vivo";89,35648126294
"Arruma Um Bão - Israel & Rodolffo";"Banquinho - Ao Vivo";89,35648126294
"Xonei - Jorge & Mateus, Henrique & Juliano";"Arruma Um Bão";89,3558834919249
"Nossas Fotos - Felipe Amorim, Zé Felipe";"De Graça ou Pagando";89,3558119622652
